raw_title,price,condition_raw,location,posted_date,url,photo_count,scraped_at,seller_type,description
Apple iPhone 14 Pro Max 256 GB Purple,75000,Used,"Rajshahi, Shaheb Bazar",23 hours ago,https://bikroy.com/shaheb-bazar/mobile-phones/apple-iphone-14-pro-max-256-gb-purple-dXs04LXCudjcFOC7CJgxaZmS.html,3,2026-09-02T05:09:30.868835+00:00,individual,"iPhone 14 Pro Max

256 GB, 85% Battery Health

Singapore variant

Super condition 

7 days replacement guarantee  
1 year service warranty  

#exchange possible 

Our Address:
Smart Choice, Shop No. 211,
City Center, Beside Rajshahi College, Sonadighi Mor, Rajshahi

Call for any details 017XXXXXXXX"
Apple iPhone 14 Pro Max 256 GB Purple,68000,Used,Rajshahi,26/08,https://bikroy.com/rajshahi/mobile-phones/apple-iphone-14-pro-max-256-gb-purple-dNds8cqTiL7B0dNOuSsnERDV.html,5,2026-09-02T05:09:31.319377+00:00,individual,"🔶Device: iphone 14 pro max / Full box with charger 
🔸Varient: kuwait 🇰🇼 
🔸Storage:256 gb 
🔸Battery health:75%🔋
🔸full box , with charger ,1 backpart 
🔸True tone ok✅✅ 
🔸Face id ok✅✅ 
🔸Display ok✅✅ 
🔸waterproof ✅ ✅ 
mobile number 015XXXXXXXX"
Apple iPhone 12 128 GB White,29500,Used,"Rajshahi, Shaheb Bazar",1 day ago,https://bikroy.com/shaheb-bazar/mobile-phones/apple-iphone-12-128-gb-white-hdB9ATugcOIdIHJRhUFosRoc.html,5,2026-09-02T05:09:32.073106+00:00,individual,"Iphone 12 used 
All okeyy 
Face id ✅
Battery othentic 
All othenthik 
No issuh 
Wp 017XXXXXXXX"
Apple iPhone 11 Pro Max 256 GB Green,28000,Used,"Rajshahi, Rani Nagar",27/08,https://bikroy.com/rani-nagar/mobile-phones/apple-iphone-11-pro-max-256-gb-green-cyUMyN9zVvJsFqgCwNTfJ5XY.html,3,2026-09-02T05:09:32.761317+00:00,individual,"sell post 
iPhone 11 pro max 
Battery 71(original) 🔋
Green colour 🟩
Condition fresh 
Storage 256
display battery All oky📱✅
Issue🔴
 Face lock naii ❌
Baki sob oky"
New Apple iPhone 12 Pro 256 GB Blue,36500,Brand New,Rajshahi,1 day ago,https://bikroy.com/rajshahi/mobile-phones/new-apple-iphone-12-pro-256-gb-blue-rb4eGtAQkxvzUwYRkoWHzndt.html,5,2026-09-02T05:09:33.310344+00:00,individual,"I phone 12 Pro 
verient : UAE
BH:86% / GB: 256
case memo available ✅
only face id issu for update 
full waterproof original fresh condition"
Apple iPhone 17 256 GB Black,91000,Used,"Dhaka, Gulshan",2 days ago,https://bikroy.com/gulshan/mobile-phones/apple-iphone-17-256-gb-black-q2jdvAYeeByjegOSO8NMImBa.html,3,2026-09-02T05:09:34.068347+00:00,individual,"iPhone 17 (Totally New Condition!)
ফোনটি একদম নতুনের মতো এবং খুবই যত্ন সহকারে ব্যবহার করা হয়েছে। কোনো ধরনের স্পট, স্ক্র্যাচ বা ডেন্ট নেই।

মডেল: iPhone 17
স্টোরেজ: 256GB
BATTERY HEALTH :- 98% 
চার্জ সাইকেল: মাত্র 217 বার (217 Cycles)
কন্ডিশন: 10/10 (একদম ফ্রেশ)
সাথে যা যা থাকছে: অরিজিনাল বক্স, ক্যাবলসহ ফোনের সাথে আসা সব আছে।"
Apple iPhone 16 Pro 256 GB Silver,100000,Used,"Dhaka, Mirpur",2 days ago,https://bikroy.com/mirpur/mobile-phones/apple-iphone-16-pro-256-gb-silver-brY0e5630Zi3iCgmFl53uYL2.html,4,2026-09-02T05:09:34.512208+00:00,individual,"IPhone 16 pro 256gb bh:89 with original charger
Fully authentic joto iccha dekhe niben water proof available never repair history
Phone bahire Theke ana hoise always 80/20 maintain kora hoise onk khon Charge thake joto iccha dekhe niben
Price fixed"
Apple iPhone 16 128 GB Blue,82500,Used,"Dhaka, Mirpur",28/08,https://bikroy.com/mirpur/mobile-phones/apple-iphone-16-128-gb-blue-wcztadToW6YyLDZjVLJTMQLh.html,5,2026-09-02T05:09:35.216396+00:00,individual,"Used: 1 Year
Battery Health: 96%
Charging Cycle: 253 (as of 28.08.2026)
Box & Original Memo: Available
Condition
Entire phone was poly-covered from day one
Single-handedly used by a female user
No gaming history
No scratches or dents
Very carefully and lightly 
Note: Charger/adapter will not be provided."
Apple iPhone 15 Pro Max 256 GB Silver,98000,Used,"Chattogram, Raozan",21/08,https://bikroy.com/raozan/mobile-phones/apple-iphone-15-pro-max-256-gb-silver-eUwu8HOIx3JbCYcETjkDsBfc.html,5,2026-09-02T05:09:35.768343+00:00,individual,"Alhamdulillah, no issues at all 
WhatsApp 018XXXXXXXX"
Apple iPhone 16 Pro 128 GB Graphite,87000,Used,"Chattogram, Khulshi",15/08,https://bikroy.com/khulshi/mobile-phones/apple-iphone-16-pro-128-gb-graphite-swz6deeAEPVzUGhfTsbKlbec.html,3,2026-09-02T05:09:36.517711+00:00,individual,"Purchased in brand new condition from US apple store in January 2025
Used one and half year
Recently charging IC got damaged. Repaired, which did cost me taka
Now it's fully ok
Otherwise no dent, no scratch,no water issue
Will box and original charging cable"
